url,selector,value
https://books.toscrape.com/,h3 a,A Light in the ...
https://books.toscrape.com/,h3 a,Tipping the Velvet
https://books.toscrape.com/,h3 a,Soumission
https://books.toscrape.com/,h3 a,Sharp Objects
https://books.toscrape.com/,h3 a,Sapiens: A Brief History ...
https://books.toscrape.com/,h3 a,The Requiem Red
https://books.toscrape.com/,h3 a,The Dirty Little Secrets ...
https://books.toscrape.com/,h3 a,The Coming Woman: A ...
https://books.toscrape.com/,h3 a,The Boys in the ...
https://books.toscrape.com/,h3 a,The Black Maria
https://books.toscrape.com/,h3 a,Starving Hearts (Triangular Trade ...
https://books.toscrape.com/,h3 a,Shakespeare's Sonnets
https://books.toscrape.com/,h3 a,Set Me Free
https://books.toscrape.com/,h3 a,Scott Pilgrim's Precious Little ...
https://books.toscrape.com/,h3 a,Rip it Up and ...
https://books.toscrape.com/,h3 a,Our Band Could Be ...
https://books.toscrape.com/,h3 a,Olio
https://books.toscrape.com/,h3 a,Mesaerion: The Best Science ...
https://books.toscrape.com/,h3 a,Libertarianism for Beginners
https://books.toscrape.com/,h3 a,It's Only the Himalayas
https://books.toscrape.com/,.price_color,Â£51.77
https://books.toscrape.com/,.price_color,Â£53.74
https://books.toscrape.com/,.price_color,Â£50.10
https://books.toscrape.com/,.price_color,Â£47.82
https://books.toscrape.com/,.price_color,Â£54.23
https://books.toscrape.com/,.price_color,Â£22.65
https://books.toscrape.com/,.price_color,Â£33.34
https://books.toscrape.com/,.price_color,Â£17.93
https://books.toscrape.com/,.price_color,Â£22.60
https://books.toscrape.com/,.price_color,Â£52.15
https://books.toscrape.com/,.price_color,Â£13.99
https://books.toscrape.com/,.price_color,Â£20.66
https://books.toscrape.com/,.price_color,Â£17.46
https://books.toscrape.com/,.price_color,Â£52.29
https://books.toscrape.com/,.price_color,Â£35.02
https://books.toscrape.com/,.price_color,Â£57.25
https://books.toscrape.com/,.price_color,Â£23.88
https://books.toscrape.com/,.price_color,Â£37.59
https://books.toscrape.com/,.price_color,Â£51.33
https://books.toscrape.com/,.price_color,Â£45.17
